100 2.0776e-05
600 7.1878e-05
1100 0.000138181
1600 0.000196636
2100 0.000291134
2600 0.000407619
3100 0.000530135
3600 0.000508798
4100 0.000605155
4600 0.000722078
5100 0.000841474
5600 0.000970112
6100 0.00110244
6600 0.000981716
7100 0.00107758
7600 0.00117489
8100 0.00127429
8600 0.0013934
9100 0.00152453
9600 0.00163315
10100 0.001749
10600 0.001883
11100 0.002037
11600 0.002251
12100 0.002399
12600 0.002504
13100 0.002089
13600 0.002231
14100 0.002264
14600 0.002384
15100 0.002845
15600 0.002578
16100 0.002742
16600 0.003235
17100 0.003038
17600 0.003087
18100 0.0032
18600 0.003392
19100 0.003438
19600 0.003584
20100 0.003805
20600 0.004242
21100 0.003984
21600 0.004384
22100 0.004275
22600 0.00455
23100 0.004602
23600 0.004691
24100 0.005263
24600 0.005006
25100 0.005201
25600 0.004238
26100 0.00439
26600 0.004466
27100 0.00461
27600 0.00472
28100 0.004872
28600 0.005133
29100 0.005209
29600 0.005228
