2 3e-06
7 9e-06
12 6.7e-05
17 4.3e-05
22 9.5e-05
27 0.000139
32 0.000237
37 0.000291
42 0.000455
47 0.000498
52 0.000666
57 0.000851
62 0.001054
67 0.001292
72 0.001643
77 0.002111
82 0.002803
87 0.002964
92 0.003567
97 0.004121
102 0.004931
107 0.005582
112 0.008102
117 0.008114
122 0.008248
127 0.011643
132 0.011997
137 0.011661
142 0.015327
147 0.016432
152 0.020166
157 0.020353
162 0.024535
167 0.0263
172 0.027707
177 0.029976
182 0.033649
187 0.042891
192 0.036933
197 0.041758
202 0.043172
207 0.047255
212 0.050246
217 0.054121
222 0.059621
227 0.062472
232 0.066796
237 0.069728
242 0.077352
247 0.093976
252 0.12689
257 0.097216
262 0.099392
267 0.118651
272 0.114207
277 0.122482
282 0.135913
287 0.131198
292 0.148452
297 0.145639
